"Date","Win7","WinXP","Android","WinVista","iOS","OS X","Win8.1","Win8","SymbianOS","Series 40","Unknown","Linux","Win10","BlackBerry OS","Samsung","Windows Phone","Win2003","Nokia Unknown","Playstation","Sony Ericsson","Win2000","Chrome OS","bada","LG","Win98","Win8.1 RT","Nintendo","Other"
2008-12,0,76.71,0,16.77,0.21,3.39,0,0,0.27,0,0.24,0.63,0,0,0,0,0.32,0,0.1,0,1.06,0,0,0,0.19,0,0,0.14
2009-01,0,74.36,0,18.89,0.24,3.66,0,0,0.26,0,0.27,0.64,0,0.01,0,0,0.32,0,0.1,0,0.92,0,0,0,0.18,0,0.01,0.13
2009-02,0.17,72.99,0.01,20.01,0.25,3.73,0,0,0.26,0,0.22,0.61,0,0.04,0,0,0.34,0,0.1,0,0.95,0,0,0,0.17,0,0.01,0.13
2009-03,0.25,72.27,0.02,20.46,0.32,3.84,0,0,0.28,0,0.25,0.64,0,0.05,0,0,0.34,0,0.11,0,0.89,0,0,0,0.17,0,0.01,0.12
2009-04,0.31,71.45,0.02,21.19,0.36,3.89,0,0,0.3,0,0.26,0.66,0,0.06,0,0,0.34,0,0.12,0,0.77,0,0,0,0.16,0,0.01,0.11
2009-05,0.53,71.07,0.02,21.45,0.32,3.72,0,0,0.34,0,0.32,0.64,0,0.06,0,0,0.47,0,0.12,0,0.69,0,0,0,0.14,0,0.01,0.11
2009-06,0.78,70.11,0,21.59,0.34,4.04,0,0,0.38,0,0.38,0.74,0,0.07,0,0,0.48,0,0.14,0,0.71,0,0,0,0.14,0,0.01,0.11
2009-07,0.97,69.21,0.02,22.47,0.36,4.07,0,0,0.25,0,0.37,0.76,0,0.09,0,0,0.34,0,0.16,0.02,0.65,0,0,0,0.12,0,0.02,0.1
2009-08,1.3,68.35,0.03,22.9,0.38,4.3,0,0,0.38,0,0.17,0.68,0,0.1,0.02,0,0.33,0,0.17,0.08,0.58,0,0,0,0.11,0,0.02,0.11
2009-09,1.67,67.72,0.03,23.1,0.35,4.39,0,0,0.4,0,0.17,0.69,0,0.1,0.02,0,0.34,0,0.14,0.08,0.56,0,0,0,0.1,0,0.02,0.1
2009-10,2.18,66.78,0.03,23.33,0.35,4.66,0,0,0.44,0,0.17,0.68,0,0.1,0.02,0,0.34,0,0.15,0.08,0.48,0,0,0,0.09,0,0.02,0.09
2009-11,4,64.91,0.04,22.7,0.38,4.9,0,0,0.44,0,0.24,0.71,0,0.12,0.02,0,0.68,0,0.16,0.08,0.42,0,0,0,0.08,0,0.02,0.09
2009-12,6.13,64.29,0.05,21.74,0.41,4.66,0,0,0.45,0,0.3,0.68,0,0.12,0.02,0,0.31,0,0.17,0.09,0.4,0,0,0,0.07,0,0.02,0.08
2010-01,8.24,62.48,0.07,20.8,0.52,5.08,0,0,0.53,0,0.29,0.69,0,0.16,0.03,0,0.31,0,0.17,0.11,0.37,0,0,0,0.06,0,0.02,0.08
2010-02,10.08,60.12,0.09,20.78,0.58,5.53,0,0,0.56,0,0.2,0.73,0,0.19,0.03,0,0.33,0,0.15,0.11,0.35,0,0,0,0.06,0,0.02,0.08
2010-03,11.69,58.53,0.12,20.32,0.59,5.67,0,0,0.68,0,0.21,0.77,0,0.25,0.03,0,0.35,0,0.15,0.12,0.36,0,0,0,0.06,0,0.02,0.07
2010-04,13.17,57.28,0.12,19.73,0.64,5.79,0,0,0.73,0,0.3,0.78,0,0.31,0.04,0,0.34,0,0.16,0.13,0.33,0,0,0,0.06,0,0.02,0.06
2010-05,14.49,56.67,0.09,19.01,0.7,5.63,0,0,0.77,0,0.39,0.79,0,0.33,0.07,0,0.33,0,0.17,0.14,0.31,0,0,0,0.05,0,0.02,0.06
2010-06,15.71,56.22,0.1,18.26,0.79,5.42,0,0,0.86,0,0.33,0.78,0,0.39,0.09,0,0.33,0,0.17,0.15,0.29,0,0,0,0.05,0,0.03,0.05
2010-07,17.34,54.7,0.23,17.93,0.88,5.38,0,0,0.92,0,0.27,0.75,0,0.47,0.08,0,0.31,0,0.18,0.16,0.26,0,0,0,0.04,0,0.03,0.06
2010-08,18.81,53.6,0.3,17.11,1,5.48,0,0,1.01,0,0.28,0.77,0,0.54,0.09,0,0.31,0,0.17,0.17,0.22,0,0,0.01,0.04,0,0.03,0.06
2010-09,20.38,52.38,0.34,16.29,1,5.69,0,0,1.14,0,0.31,0.76,0,0.63,0.1,0,0.31,0,0.15,0.2,0.2,0,0,0,0.03,0,0.02,0.06
2010-10,21.84,50.98,0.41,15.84,1.08,5.82,0,0,1.25,0,0.3,0.74,0,0.69,0.11,0,0.29,0,0.15,0.21,0.18,0,0,0,0.03,0,0.02,0.06
2010-11,23.15,49.68,0.47,15.45,1.13,5.97,0,0,1.29,0,0.28,0.75,0,0.77,0.14,0,0.29,0,0.14,0.2,0.16,0,0,0,0.03,0,0.02,0.06
2010-12,24.8,48.52,0.56,14.86,1.28,6,0,0,1.22,0,0.28,0.72,0,0.74,0.17,0,0.27,0,0.16,0.18,0.15,0,0,0,0.02,0,0.02,0.06
2011-01,26.49,46.68,0.63,14.45,1.49,6.28,0,0,1.3,0,0.29,0.71,0,0.65,0.19,0.01,0.26,0,0.16,0.17,0.14,0,0,0.01,0.02,0,0.02,0.06
2011-02,27.83,45.87,0.69,13.77,1.51,6.3,0,0,1.36,0,0.3,0.72,0,0.65,0.2,0.01,0.26,0,0.14,0.17,0.13,0,0,0.01,0.02,0,0.02,0.05
2011-03,29.16,45.1,0.76,13.02,1.58,6.22,0,0,1.44,0,0.31,0.73,0,0.66,0.22,0.01,0.25,0,0.14,0.18,0.12,0,0,0.01,0.02,0,0.02,0.05
2011-04,30.25,44.14,0.86,12.43,1.72,6.13,0,0,1.64,0,0.34,0.72,0,0.71,0.26,0.02,0.24,0,0.15,0.19,0.1,0,0.01,0.01,0.02,0,0.02,0.05
2011-05,31.31,43.2,1.05,11.8,1.84,5.99,0,0,1.8,0,0.4,0.76,0,0.74,0.29,0.02,0.24,0,0.16,0.2,0.08,0,0.02,0.01,0.02,0,0.02,0.05
2011-06,32.29,42.1,1.22,11.22,1.96,5.86,0,0,2.19,0,0.46,0.74,0,0.79,0.37,0.02,0.23,0,0.15,0.21,0.07,0,0.03,0.01,0.02,0,0.02,0.05
2011-07,33.53,40.81,1.39,10.75,2.18,5.79,0,0,2.28,0,0.47,0.71,0,0.88,0.4,0.02,0.22,0,0.15,0.21,0.08,0,0.03,0.01,0.02,0,0.02,0.05
