"Continent","Android","Win7","Unknown","Nokia Unknown","WinXP","Series 40","Win8.1","Win10","Samsung","iOS","Windows Phone","Win8","OS X","WinVista","Chrome OS","BlackBerry OS","SymbianOS","Linux","Win98","LG","Firefox OS","Sony Ericsson","Win2003","Playstation"
India ,47.67,16.44,8.06,5.33,3.76,3.73,2.94,2.34,1.82,1.79,1.3,1.11,0,0,0,0,0,0,0,0,0,0,0,0
United States of America ,14.4,24.81,1.51,0,2.19,0,6.32,12.28,0,20.85,0,3.02,9.99,1.36,1.26,0,0,0,0,0,0,0,0,0
Turkey ,41.09,25.76,1.73,0,5.3,0,5.98,5.95,0,9.36,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,58.36,12.85,6.55,2.65,3.53,2.18,2.33,1.91,0,2.39,0,0,1.11,0,0,3.05,0,0,0,0,0,0,0,0
Pakistan ,46.28,17.52,6.91,4.52,3.71,4.44,3.99,3.29,0,3.73,1.02,1.51,0,0,0,0,1.83,0,0,0,0,0,0,0
Brazil ,20.96,37.35,1.83,0,3.07,0,9.07,14.03,0,4.13,1.29,2.52,3.53,0,0,0,0,0,0,0,0,0,0,0
Poland ,43.36,22.39,3.17,0,5.66,0,6.76,7.51,0,1.4,3.17,1.11,1.25,1.79,0,0,0,0,0,0,0,0,0,0
United Kingdom ,16.47,19.55,1.3,0,1.55,0,6.49,15.35,0,22.07,0,0,10.07,1.44,0,1.63,0,0,0,0,0,0,0,0
China ,35.41,26.19,1.86,0,12.91,0,2.53,5.06,0,12.76,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0
Germany ,18.21,28.69,1.47,0,2.6,0,8.31,15.58,0,11.15,0,1.49,7.19,1.86,0,0,0,2.03,0,0,0,0,0,0
Thailand ,32.86,26.82,4.2,0,3.82,0,5.78,4.02,0,17.45,0,1.24,2.64,0,0,0,0,0,0,0,0,0,0,0
Canada ,11.12,25.06,1.1,0,2.59,0,6.82,13.89,0,21.62,0,1,11.9,1.58,0,1.37,0,0,0,0,0,0,0,0
Spain ,28.15,22.8,2.16,0,4.71,0,6.51,12.16,0,11.25,0,1.23,7,1.65,0,0,0,1.5,0,0,0,0,0,0
France ,14.91,25.17,1.57,0,2.85,0,10.3,15.88,0,10.49,0,1.75,11.71,2.4,0,0,0,1.48,0,0,0,0,0,0
Argentina ,27.71,34.78,2.5,0,8.67,0,6.07,7.48,0,3.17,2.53,1.91,1.95,0,0,0,0,0,0,0,0,0,0,0
Mexico ,27.05,25.54,3.85,0,2.86,0,8.38,9.92,0,8.72,1.22,2.71,7.31,0,0,0,0,0,0,0,0,0,0,0
South Africa ,48.36,10.39,4.59,2.69,1.02,6.5,2.7,3.12,0,5.04,2.3,0,1.79,0,0,8.49,0,0,0,0,0,0,0,0
Malaysia ,42.44,21.9,4.89,0,2.88,0,5.8,6,0,7.95,0,1.54,3.6,0,0,0,0,0,0,0,0,0,0,0
